transaction_id,amount,device,payment_method,hour,is_returning_user,checkout_started,location,payment_success
1,1802.11,Mobile,NetBanking,7,1,1,Urban,1
2,955.02,Mobile,Card,22,1,1,Metro,1
3,2095.8,Tablet,Card,17,0,1,Metro,0
4,5029.27,Tablet,UPI,0,0,1,Metro,0
5,867.7,Mobile,NetBanking,17,0,1,Urban,1
6,867.71,Mobile,Wallet,5,1,1,Urban,1
7,5319.92,Mobile,Card,6,0,0,Metro,0
8,2362.4,Desktop,UPI,0,0,1,Metro,0
9,685.76,Mobile,Card,7,0,1,Urban,1
10,1886.65,Mobile,UPI,0,0,0,Metro,0
11,689.92,Mobile,Card,19,1,1,Metro,1
12,688.33,Tablet,Card,8,1,1,Urban,0
13,1396.83,Desktop,UPI,17,0,0,Metro,0
14,161.86,Desktop,UPI,15,1,1,Rural,1
15,195.41,Desktop,Card,6,1,1,Urban,0
16,624.98,Desktop,UPI,4,0,1,Urban,0
17,398.29,Desktop,Card,20,0,1,Metro,1
18,1501.54,Mobile,UPI,0,0,1,Urban,1
19,442.29,Mobile,Wallet,20,1,1,Urban,1
20,267.12,Desktop,NetBanking,10,0,1,Urban,1
21,4748.81,Mobile,Wallet,22,0,1,Urban,1
22,875.0,Mobile,UPI,20,0,0,Urban,0
23,1173.24,Mobile,Wallet,6,0,1,Semi-Urban,1
24,263.82,Tablet,UPI,10,1,0,Semi-Urban,1
25,636.27,Desktop,NetBanking,0,0,1,Rural,1
26,1225.28,Desktop,UPI,19,0,1,Semi-Urban,1
27,346.89,Desktop,Wallet,17,0,1,Semi-Urban,1
28,1596.71,Mobile,UPI,8,1,1,Urban,1
29,601.46,Mobile,Card,12,0,1,Rural,1
30,819.18,Mobile,Wallet,7,0,1,Metro,1
31,600.82,Mobile,Card,12,0,1,Urban,1
32,6990.3,Desktop,Card,19,1,1,Urban,1
33,1081.93,Mobile,Card,20,0,1,Urban,0
34,380.81,Mobile,Wallet,1,0,1,Semi-Urban,1
35,2496.25,Mobile,Card,0,1,1,Urban,0
36,323.49,Mobile,Card,7,0,1,Semi-Urban,1
37,1351.36,Mobile,UPI,9,1,1,Urban,1
38,154.52,Mobile,NetBanking,4,1,1,Urban,1
39,290.56,Mobile,UPI,13,0,1,Semi-Urban,0
40,1335.23,Mobile,UPI,9,0,1,Metro,1
41,2294.95,Mobile,NetBanking,6,0,1,Urban,1
42,1301.62,Mobile,UPI,12,0,1,Rural,1
43,976.87,Mobile,UPI,14,0,1,Urban,1
44,811.51,Mobile,NetBanking,1,0,1,Metro,0
45,250.0,Mobile,NetBanking,7,1,1,Semi-Urban,1
46,533.87,Desktop,UPI,10,1,1,Semi-Urban,1
47,691.84,Mobile,UPI,11,0,1,Urban,0
48,3156.19,Tablet,UPI,0,0,1,Semi-Urban,1
49,1546.3,Mobile,NetBanking,15,0,1,Semi-Urban,0
50,188.1,Mobile,UPI,5,0,1,Metro,1
51,1516.38,Mobile,UPI,15,1,1,Semi-Urban,1
52,746.14,Mobile,Wallet,8,0,1,Rural,0
53,557.29,Mobile,Card,10,0,1,Semi-Urban,1
54,2021.66,Mobile,NetBanking,11,1,1,Metro,1
55,3074.81,Desktop,UPI,21,0,1,Metro,1
56,2782.99,Desktop,UPI,8,0,1,Metro,1
57,473.8,Mobile,UPI,6,1,1,Semi-Urban,0
58,804.96,Mobile,Card,10,0,1,Semi-Urban,1
59,1527.31,Desktop,UPI,22,1,1,Metro,0
60,2908.94,Mobile,UPI,1,1,1,Metro,0
61,679.14,Mobile,Wallet,19,0,1,Urban,1
62,910.82,Mobile,UPI,1,1,1,Metro,1
63,362.73,Mobile,Card,23,0,1,Urban,1
64,331.55,Mobile,Card,17,0,1,Semi-Urban,1
65,2471.36,Mobile,UPI,23,1,1,Rural,0
66,4256.66,Mobile,Card,0,1,1,Semi-Urban,1
67,1020.44,Mobile,UPI,6,0,1,Urban,1
68,2991.51,Mobile,UPI,19,0,1,Semi-Urban,1
69,1574.41,Mobile,UPI,22,0,1,Urban,1
70,575.29,Mobile,NetBanking,17,0,1,Urban,1
71,1574.03,Mobile,Wallet,20,1,1,Rural,1
72,5105.31,Mobile,Card,6,0,1,Rural,0
73,1058.04,Mobile,NetBanking,5,0,1,Metro,0
74,5242.97,Mobile,Wallet,16,0,1,Urban,0
75,79.86,Mobile,UPI,14,0,1,Metro,1
76,2494.65,Mobile,UPI,17,0,1,Metro,1
77,1196.37,Mobile,UPI,22,0,1,Metro,1
78,813.21,Mobile,UPI,14,1,1,Urban,1
79,1202.02,Mobile,Card,4,1,1,Semi-Urban,1
80,150.27,Desktop,Card,6,0,1,Urban,0
81,880.36,Desktop,Card,22,1,1,Metro,1
82,1567.3,Mobile,Card,4,1,1,Urban,1
83,4807.32,Mobile,UPI,13,1,1,Semi-Urban,1
84,653.1,Mobile,UPI,11,0,0,Semi-Urban,1
85,488.58,Mobile,UPI,6,0,1,Urban,0
86,663.97,Mobile,Card,17,1,1,Urban,1
87,2739.15,Mobile,UPI,15,0,1,Metro,0
88,1523.48,Mobile,UPI,3,1,0,Metro,0
89,645.64,Desktop,UPI,4,0,1,Semi-Urban,1
90,1832.19,Tablet,Card,2,1,1,Urban,1
91,1208.43,Desktop,NetBanking,2,0,1,Metro,1
92,2888.94,Desktop,NetBanking,18,1,1,Urban,1
93,543.45,Mobile,Card,17,1,1,Urban,0
94,790.24,Desktop,Card,21,1,1,Urban,1
95,740.92,Mobile,UPI,16,1,1,Urban,1
96,253.78,Tablet,NetBanking,11,0,1,Urban,1
97,1474.57,Desktop,UPI,0,0,1,Semi-Urban,0
98,1423.76,Mobile,Card,9,1,1,Semi-Urban,1
99,1102.26,Desktop,UPI,16,0,1,Urban,1
100,867.32,Mobile,Card,10,0,1,Metro,1
101,266.3,Mobile,UPI,14,1,1,Metro,1
102,720.07,Desktop,Card,2,0,1,Urban,1
103,778.43,Mobile,UPI,18,0,1,Semi-Urban,0
104,491.63,Desktop,UPI,17,0,1,Metro,1
105,933.29,Mobile,NetBanking,20,0,1,Semi-Urban,1
106,1642.63,Mobile,UPI,8,0,1,Metro,1
107,7231.39,Desktop,NetBanking,6,0,1,Urban,1
108,1305.81,Tablet,UPI,8,0,1,Metro,0
109,1418.78,Mobile,Card,6,1,1,Urban,1
110,1017.96,Mobile,Wallet,23,1,1,Semi-Urban,1
111,160.97,Mobile,UPI,4,0,1,Metro,1
112,1067.94,Desktop,UPI,5,0,1,Semi-Urban,1
113,1164.71,Mobile,Wallet,11,0,1,Urban,1
114,12877.57,Desktop,UPI,2,0,1,Metro,1
115,904.73,Desktop,Card,8,1,1,Metro,1
116,1482.59,Mobile,Wallet,12,0,1,Urban,1
117,1059.22,Mobile,UPI,17,1,1,Metro,1
118,340.81,Mobile,Card,1,0,1,Semi-Urban,1
119,3438.61,Mobile,Card,10,0,1,Metro,1
120,2326.06,Tablet,UPI,12,0,1,Metro,0
121,2418.81,Mobile,Card,4,1,1,Urban,1
122,441.69,Mobile,NetBanking,16,0,1,Metro,1
123,4459.51,Desktop,UPI,10,0,1,Metro,1
124,269.93,Mobile,UPI,4,0,1,Metro,1
125,1972.11,Mobile,UPI,21,1,1,Urban,0
126,9803.12,Mobile,Wallet,5,1,1,Urban,0
127,407.26,Tablet,UPI,10,1,1,Semi-Urban,1
128,622.47,Desktop,Card,8,1,1,Urban,1
129,1211.54,Desktop,Card,2,0,1,Semi-Urban,1
130,662.83,Mobile,UPI,14,1,1,Urban,1
131,232.6,Mobile,Card,10,0,1,Urban,1
132,1174.46,Mobile,UPI,21,1,0,Metro,0
133,379.06,Desktop,NetBanking,9,0,1,Urban,0
134,1760.92,Mobile,NetBanking,10,1,1,Rural,1
135,437.28,Mobile,UPI,14,0,1,Urban,1
136,5166.42,Mobile,UPI,2,1,1,Urban,1
137,501.07,Desktop,UPI,7,1,1,Metro,1
138,794.68,Desktop,UPI,20,1,1,Metro,1
139,2473.82,Mobile,UPI,13,0,0,Rural,1
140,320.26,Desktop,UPI,22,0,1,Metro,1
141,1376.72,Desktop,Card,5,1,1,Semi-Urban,1
142,4052.72,Desktop,UPI,15,0,1,Metro,1
143,219.76,Desktop,UPI,13,0,1,Semi-Urban,1
144,1319.01,Mobile,UPI,17,0,1,Metro,1
